t,y_truth,y_hat
0.63714147,0.6034571,0.46459875
0.11504118,-0.40048778,-0.44352117
0.10358591,-0.4228627,-0.6861907
0.7648399,-0.10295341,0.074546844
0.5988518,0.7151738,0.79740727
0.22338825,-0.094979174,0.393317
0.2666111,0.061662864,0.087236196
0.59955245,0.7135944,0.54370594
0.8615101,-0.8142572,-0.6451824
0.43792164,0.6590475,1.0658096
0.8079605,-0.41800863,0.27139378
0.17398979,-0.25328922,-0.3550754
0.90119773,-1.0842434,-0.5467324
0.3093949,0.22477497,-0.14841959
0.5371273,0.787378,0.9180795
0.13789591,-0.34955448,-0.4169275
0.9225954,-1.2128876,-0.93839896
0.5529854,0.7812007,0.62209
0.22715026,-0.08189473,-0.2670156
0.45013452,0.6881964,0.85741746
0.2217842,-0.10051986,-0.057755947
0.48539516,0.7532187,0.84420323
0.37905768,0.48168185,0.5796399
0.91472846,-1.1672934,-1.1430941
0.26789212,0.06647572,0.27244523
0.62429035,0.6467076,0.5593921
0.9805486,-1.4712114,-0.8262223
0.58032995,0.75064147,0.7755977
0.23341021,-0.059855286,-0.012283444
0.1479307,-0.32465756,-0.5648186
0.5720117,0.7626598,0.86464334
0.9041825,-1.103034,-1.1213671
0.9225805,-1.2128034,-0.62591016
0.164585,-0.28012216,-0.04650089
0.7493527,0.004403362,-0.10464504
0.30365926,0.20278154,0.4251728
0.9775459,-1.4617196,-0.779305
0.9151291,-1.1696659,-0.52484345
0.81351995,-0.45955512,-0.5761545
0.27574885,0.09613809,0.3049786
0.2766247,0.09945873,0.057036012
0.13270679,-0.36183414,-0.19168565
0.37965,0.48370904,0.82481
0.22546974,-0.08775503,0.27516404
0.08557176,-0.45360187,-0.36962572
0.13647413,-0.35296,-0.31943968
0.4663053,0.7217513,0.6330763
0.6426371,0.58320886,0.48078945
0.857389,-0.7845623,-0.7199043
0.20290135,-0.16388357,-0.018736333
0.1665755,-0.2745414,0.39261088
0.6138016,0.6777094,0.885579
0.9965018,-1.513443,-1.1299317
0.3824994,0.49340558,0.7187238
0.6112192,0.68474555,0.6923106
0.23515686,-0.05364893,-0.16362303
0.27223793,0.08285376,0.33300978
0.44670457,0.6803267,0.38739744
0.96242654,-1.4069186,-1.0720347
0.27841562,0.106256306,0.35401988
0.06499301,-0.4818455,-0.65397227
0.37205222,0.4574235,0.45659605
0.78843975,-0.27324796,-0.3610746
0.6123547,0.68168104,0.7652956
0.36690587,0.43928865,0.5484824
0.3448254,0.35898304,-0.1048893
0.5334875,0.78763926,1.0715955
0.289227,0.14747475,-0.059368014
0.09856579,-0.43198192,-0.38519588
0.14606665,-0.32939512,-0.47969994
0.23743911,-0.045503654,-0.086381525
0.43714628,0.65709335,0.6868417
0.32590622,0.28783238,0.23524445
0.2766423,0.09952539,0.40415937
0.77325076,-0.16284874,-0.31588346
0.23285727,-0.0618149,-0.4706513
0.8393475,-0.652298,-0.050189793
0.19568427,-0.18711928,-0.18079534
0.76167345,-0.08067612,-0.11786863
0.08259884,-0.45814052,-0.9173273
0.6994454,0.3154587,0.4470599
0.29011327,0.15086472,0.19382805
0.7662779,-0.11312147,0.41697428
0.96928644,-1.4332012,-2.4752223
0.26735848,0.06446993,0.51037943
0.4578181,0.70488733,0.5429106
0.58630955,0.7405098,0.76029
0.59817374,0.7166854,0.8070072
0.64411366,0.5775911,0.59848
0.8416108,-0.6690527,-0.30246902
0.7448872,0.034550402,0.37484366
0.25965586,0.035665534,-0.0057891905
0.33709186,0.33009776,0.70359755
0.14401594,-0.33454826,-0.43431672
0.35536143,0.39775708,0.5391328
0.50866514,0.7783781,0.8418479
0.20982833,-0.14105445,-0.14544335
0.6439419,0.5782483,0.74984527
0.60441464,0.70215714,0.8707068
0.53470784,0.7875988,1.155296
0.57202816,0.76263833,0.9843755
0.86598045,-0.846193,-1.1904356
0.15318345,-0.31103542,-0.39157757
0.79199857,-0.29944873,-0.26970735
0.45176342,0.69184464,1.1122359
0.50458455,0.7750767,0.7254081
0.36558494,0.43459404,0.6273398
0.5891046,0.7353439,0.86764324
0.45251748,0.6935134,0.97256875
0.16728833,-0.27253,-0.36522594
0.5116664,0.7804938,0.9089093
0.2640205,0.0519526,0.05390595
0.34987468,0.37765706,0.109184235
0.25352982,0.012975676,-0.02246958
0.54985696,0.78307676,0.6762148
0.5181838,0.7841617,0.86004007
0.23665714,-0.048298977,-0.14604226
0.5767617,0.75609154,0.905782
0.7469063,0.020967493,-0.01521042
0.58391064,0.744725,0.7707857
0.45306906,0.69472647,0.84061396
0.4261624,0.6281619,0.88296306
0.36270294,0.42429742,0.5731334
0.9697287,-1.4348159,-1.0329963
0.23415145,-0.057224426,-0.5731666
0.40831596,0.57655764,0.7459408
0.23146029,-0.066755146,-0.06634396
0.5394488,0.7869885,0.83655643
0.4175839,0.60402757,0.7527174
0.9590193,-1.3930196,-0.9940492
0.42180553,0.6160659,0.7605424
0.20026551,-0.17243636,-0.6861404
0.25451395,0.016606413,-0.16032884
0.250579,0.0021237559,0.69177103
0.89209574,-1.0254403,-0.81604946
0.60315025,0.70521194,0.0886797
0.11471896,-0.40114638,-0.3434268
0.36477333,0.43170175,0.3234227
0.47332445,0.73439145,0.95040226
0.3399684,0.34087873,0.11469886
0.077078104,-0.46616066,-0.3374761
0.99033326,-1.4987837,-1.069482
0.6960368,0.3343519,0.78506553
0.9422679,-1.3169954,-0.71096015
0.63506573,0.6108333,0.65668035
0.65134996,0.5489817,0.6858393
0.21276797,-0.13121712,-0.18069449
0.13365413,-0.35962296,0.13656923
0.881938,-0.9573967,-0.6417892
0.14144996,-0.3409083,-0.3052163
0.7260421,0.15715308,0.8590822
0.3635849,0.4274563,0.15382534
0.91607153,-1.1752245,-0.8025768
0.9336892,-1.273437,-0.9596076
0.23742841,-0.045541868,0.11728227
0.087933175,-0.44988808,-0.85626197
0.8960643,-1.0513479,-0.89192426
0.48943886,0.7586701,0.6886213
0.3325599,0.31303412,0.2861296
0.5747671,0.7589449,0.7494341
0.49725205,0.76793784,0.6534723
0.8456767,-0.6990522,-1.2505575
0.4215607,0.6153764,0.6403934
0.33702785,0.32985726,0.2145995
0.12451418,-0.38037422,-0.24626732
0.7330634,0.11239535,0.071584135
0.13434833,-0.35799408,-0.6542758
0.08862832,-0.44877642,-0.046926826
0.3610778,0.41845977,0.16785541
0.5039212,0.774494,0.5049665
0.24307081,-0.025237584,-0.11178222
0.95603657,-1.3804054,-0.90529454
0.18013221,-0.2351417,-0.39255938
